[2026-06-16 08:30:17] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-16 08:30:31] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-16 08:31:19] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-16 08:36:22] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-16 08:40:25] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-16 08:54:03] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-16 08:54:23] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-16 21:00:50] 未戴安全帽; 未穿反光背心 | LLM: False
[2026-06-16 22:30:04] 未戴安全帽; 未穿反光背心 | LLM: False
[2026-06-16 22:31:22] 未戴安全帽; 未穿反光背心 | LLM: False
[2026-06-16 22:31:24] 未戴安全帽; 未穿反光背心 | LLM: False
[2026-06-16 22:32:42] 未戴安全帽; 未穿反光背心; 区域入侵-仓储缓冲带 | LLM: False
[2026-06-16 22:33:36] 未戴安全帽; 未穿反光背心 | LLM: False
[2026-06-17 01:59:16] 未戴安全帽; 未穿反光背心 | LLM: False
[2026-06-17 02:18:45] 未戴安全帽; 未穿反光背心 | LLM: False
[2026-06-17 02:19:41] 未戴安全帽; 未穿反光背心 | LLM: False
[2026-06-17 02:19:42] 未戴安全帽; 未穿反光背心 | LLM: False
[2026-06-17 02:19:51] 未戴安全帽; 未穿反光背心 | LLM: False
[2026-06-17 03:30:53] 未戴安全帽; 未穿反光背心 | LLM: False
[2026-06-17 03:37:13] 未戴安全帽; 未穿反光背心 | LLM: False
[2026-06-17 03:37:18] 未戴安全帽; 未穿反光背心 | LLM: False
[2026-06-17 03:37:21] 未戴安全帽; 未穿反光背心 | LLM: False
[2026-06-17 03:37:27] 未戴安全帽; 未穿反光背心 | LLM: False
[2026-06-17 03:37:27] 未戴安全帽; 未穿反光背心 | LLM: False
[2026-06-17 03:37:30] 未戴安全帽; 未穿反光背心 | LLM: False
[2026-06-17 03:37:42] 未戴安全帽; 未穿反光背心 | LLM: False
[2026-06-17 03:50:14] 未戴安全帽; 未穿反光背心 | LLM: False
[2026-06-17 03:50:21] 未戴安全帽; 未穿反光背心 | LLM: False
[2026-06-17 03:57:27] 未戴安全帽; 未穿反光背心 | LLM: False
[2026-06-17 03:57:29] 未戴安全帽; 未穿反光背心 | LLM: False
[2026-06-17 03:57:37] 未戴安全帽; 未穿反光背心 | LLM: False
[2026-06-17 05:32:44] 未戴安全帽; 未穿反光背心 | LLM: False
[2026-06-17 05:40:43] 未戴安全帽; 未穿反光背心 | LLM: False
